"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JULHO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL,Unnamed: 15,Unnamed: 16
 CIMENTO,-0.68,-0.88,-1.99,1.84,-2.95,-0.96,-0.85,0.13,-0.39,-0.03,0.94,-0.46,2.16,-1.14,,
 TIJOLO,       -,-0.19,0.96,0.13,0.1,0.95,-0.03,0.66,-2.12,0.89,-0.44,1.83,       -,0.16,,
 MATERIAL HIDRÁULICO,       -,       -,-0.17,       -,0.82,       -,0.92,       -,-1.08,-1.83,       -,-0.17,       -,0.06,,
 MÃO DE OBRA,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,,
 AREIA ,0.82,       -,0.08,       -,       -,       -,       -,1.05,1.39,0.63,-0.2,0.23,       -,0.6,,
 TELHA,0.17,       -,-0.36,       -,       -,       -,0.59,-0.03,0.79,-1.92,0.59,-0.59,       -,-0.4,,
 ARTIGOS DE LIMPEZA,0.04,0.7,-0.13,1.06,-0.41,0.58,-1.95,0.17,-0.06,0.39,-0.05,0.29,-0.6,-0.11,,
 ÁGUA SANITÁRIA,-2.76,       -,-0.62,0.19,4.88,-1.82,-0.57,-1.32,1.24,3.32,       -,       -,       -,1.81,,
 DETERGENTE,-0.24,-2.3,2.17,-3.24,-0.75,1.26,-2.77,0.52,-0.56,-0.58,1.38,-0.3,-0.14,-0.49,,
 SABÃO EM PÓ,0.05,2.45,-2.33,3.93,-1.02,-0.27,-2.92,0.65,1.04,1.15,-0.4,1.91,-1.44,-0.13,,
 DESINFETANTE,-1.07,0.37,-0.3,1.77,       -,2.81,-2.95,-1.49,1.14,-1.1,-0.33,-0.89,0.32,-0.23,,
 INSETICIDA,0.02,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.02,,
 SABÃO EM BARRA,-1.57,0.73,0.73,-1.06,-3.6,2.64,-0.52,-0.5,-5,2.39,0.27,-1.21,1.56,-1.14,,
 ESPONJA DE LIMPEZA,       -,-1.94,1.97,0.64,-0.3,       -,-1.49,2.28,       -,1.36,-0.47,-2.14,0.57,0.29,,
 AMACIANTE,2.98,-0.36,1.15,       -,0.11,0.65,-0.82,1.07,1.11,-1.73,-0.28,-0.62,-1.72,0.11,,
 COMBUSTÍVEIS E ENERGIA,1.92,2.67,5.89,4.02,6.79,-0.02,4.87,2.32,2.79,6.98,3.25,2.22,1.59,4.52,,
 COMBUSTÍVEIS (DOMÉSTICOS),-0.76,0.85,0.92,2.88,1.41,-3.23,-0.08,0.43,0.47,-0.38,1.97,-3.15,1.4,0.61,,
 CARVÃO VEGETAL,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0,,
 GÁS DE BOTIJÃO,-1,0.9,0.92,2.88,1.55,-3.23,-0.08,0.43,0.47,-0.41,1.97,-3.15,1.4,0.65,,
 GÁS ENCANADO,0,       -,       -,       -,0,       -,       -,       -,       -,0,       -,       -,       -,0.0,,
 ENERGIA ELÉTRICA RESIDENCIAL,2.77,3.37,8.01,4.51,8.54,0.83,6.92,3.5,4.41,9.33,3.8,3.9,1.67,6.0,,
 ENERGIA ELÉTRICA RESIDENCIAL,2.77,3.37,8.01,4.51,8.54,0.83,6.92,3.5,4.41,9.33,3.8,3.9,1.67,6.0,,
 ARTIGOS DE RESIDÊNCIA,-0.32,-0.28,0.08,-0.39,-0.1,0.31,-0.57,-0.36,-0.85,-0.81,1.55,-0.2,-0.85,-0.23,,
 MÓVEIS E UTENSÍLIOS,-0.44,-0.5,0.05,-0.38,-0.7,0.53,-0.08,-0.45,-0.28,-0.65,1.22,0.65,-0.41,-0.31,,
 MOBILIÁRIO,-0.38,-1.37,-0.01,-0.66,-0.54,0.15,-1.27,-0.67,-0.77,-0.42,0.86,0.74,-1.31,-0.48,,
 MÓVEL PARA SALA,0.11,-2.25,0.43,0.21,0.99,0.02,-2.87,-0.79,-1.51,0.41,2.48,-2.06,-2.6,-0.08,,
 MÓVEL PARA QUARTO,-1.67,-0.94,0.02,-0.95,-1.97,-0.13,-0.89,-1.26,-0.91,-1.71,-0.88,2.6,-1.11,-1.12,,
 MÓVEL PARA COPA E COZINHA,0.44,-1.99,-0.77,-1.77,-1.97,1.29,-2.38,-0.13,-0.9,-0.4,1.17,2.14,0.22,-1.03,,
 MÓVEL INFANTIL,       -,       -,       -,-0.04,       -,       -,-0.82,-2.69,       -,       -,-1.14,       -,       -,-1.27,,
 COLCHÃO,1.27,2.86,-1.69,-2.68,2.31,1.5,0.92,2.32,3.12,2.15,-1.96,-0.19,0.95,1.11,,
 UTENSÍLIOS E ENFEITES,-1.1,-0.75,0.57,0.08,-0.75,0.93,0.66,-0.49,1.17,-0.61,1.41,1.3,1.52,-0.1,,
 TAPETE,4.69,-0.24,1.61,1.26,4.56,0.43,1.25,       -,3.44,-2.76,2.34,1.08,-2.61,1.86,,
 CORTINA,-1.75,-2.51,0.48,-0.22,-2.86,1.58,-0.21,-0.2,-3.92,-0.19,1.76,3.11,2.17,-1.08,,
 UTENSÍLIOS DE METAL,-1.49,-0.11,-1.42,-1.69,-3.82,1.22,-1.5,-2.26,-2.98,0.11,-1.29,-1.26,0.13,-2.04,,
 UTENSÍLIOS DE VIDRO E LOUÇA,-3.63,-0.29,1.1,0.97,2.88,-2.48,0.18,0.87,-1.88,-2.72,3.86,1.11,1.12,0.49,,
 UTENSÍLIOS DE PLÁSTICO,2.12,0.67,       -,2.48,-2.31,0.18,2.78,-3.8,3.82,1.37,-2.63,3.03,-3.81,-0.09,,
 FLORES NATURAIS,       -,-1.42,       -,       -,-3.22,       -,       -,       -,-0.7,1.56,       -,       -,4.76,-2.12,,
 UTENSÍLIOS DIVERSOS,-1.85,-0.66,-0.36,0.04,0.77,2.47,1.58,1.67,7.15,-0.4,2.48,0.58,5.9,0.71,,
" CAMA, MESA E BANHO",0.45,2.76,-0.81,-0.04,-1.36,1.81,1.72,0.85,-0.5,-1.65,2.19,-0.81,0.53,-0.01,,
 ROUPA DE CAMA,0.65,2.92,-0.97,-1.31,-2.48,1.81,1.98,0.55,1.72,-1.9,2.19,-1.13,1.16,-0.04,,
 ROUPA DE BANHO,-0.07,2.31,-0.39,3.04,0.78,       -,0.46,1.48,-9.05,-0.8,       -,-0.03,-1.1,0.1,,
 APARELHOS ELETROELETRÔNICOS,-0.4,-0.2,0.31,-0.59,0.41,-0.2,-1.28,-0.31,-1.61,-1.2,1.64,-1.22,-1.36,-0.27,,
 ELETRODOMÉSTICOS E EQUIPAMENTOS,-0.74,-0.37,0.91,-0.34,0.5,-0.42,-1.44,-0.22,-2.03,-0.87,2.13,-2.05,-2.38,-0.27,,
 REFRIGERADOR,-0.61,-0.85,0.99,0.14,-0.94,0.01,-2.79,0.4,-1.49,-2.19,1.21,-3.09,-3.18,-0.84,,
 AR-CONDICIONADO,0.01,-0.72,       -,-0.89,       -,       -,-1.14,       -,       -,-1.04,       -,-0.34,-3.03,-0.76,,
 MÁQUINA DE LAVAR ROUPA,-1.55,-1.1,0.7,2.28,3.52,-0.38,-0.43,-1.19,-2.47,1.13,3.8,-0.63,-1.39,1.02,,
 LIQUIDIFICADOR,       -,       -,       -,       -,       -,       -,-1.33,       -,       -,       -,       -,       -,       -,-1.33,,
 VENTILADOR,-1.73,       -,       -,-1.76,       -,       -,1.07,-1.4,       -,       -,       -,       -,-0.24,-0.91,,
 FOGÃO,-0.36,1.33,1.91,-1.66,-0.6,-1.95,-0.31,-0.67,-3.16,-0.95,3,-1.32,-1.06,-0.36,,
 CHUVEIRO ELÉTRICO,       -,0.17,       -,       -,-0.1,       -,       -,       -,       -,       -,       -,       -,       -,-0.03,,
 FORNO DE MICRO-ONDAS,       -,-0.13,-2.26,       -,1.83,       -,       -,       -,       -,1.02,1,       -,       -,0.79,,
" TV, SOM E INFORMÁTICA",0.06,0.13,-0.54,-0.97,0.28,0.1,-0.98,-0.44,-1.03,-1.83,0.94,0.02,0.56,-0.28,,
 TELEVISOR,-0.83,-0.48,-1.16,1.36,2.2,0.69,-2.69,0.22,1.45,-0.82,0.68,1.24,2.83,0.46,,
 APARELHO DE SOM,0.58,0.19,-2.01,-0.72,1.21,0.2,-0.79,-0.02,-0.91,-1.34,-2.89,0.18,3.05,-0.1,,
 APARELHO DE DVD,2.71,3.57,2.64,-1.58,3.34,1.28,-2.15,2.72,-1.61,1.89,3.28,2.01,-0.47,1.43,,
 ANTENA,       -,       -,       -,-0.97,       -,       -,-0.98,-0.44,       -,       -,2.56,       -,       -,-0.06,,
 MICROCOMPUTADOR,0.23,-0.09,-0.58,-2.43,-1.75,-0.44,1.02,-2.7,-2.09,-3.21,1.12,-1.21,-1.25,-1.17,,
 CONSERTOS  E  MANUTENÇÃO,0.53,0.51,-0.87,0.7,1.04,1.11,0.99,-0.04,-0.7,-0.06,2.59,-2.25,-0.74,0.49,,
 CONSERTOS E MANUTENÇÃO,0.53,0.51,-0.87,0.7,1.04,1.11,0.99,-0.04,-0.7,-0.06,2.59,-2.25,-0.74,0.49,,
 CONSERTO DE REFRIGERADOR,2.83,1.88,0,-0.73,0.55,-0.96,0.55,       -,0.56,0.38,1.83,0.81,-1,0.93,,
 CONSERTO DE TELEVISOR,0,1.4,0.98,-1.85,6.34,5.54,0,1.67,-2.64,0,-0.68,-5.99,-4.73,1.77,,
 CONSERTO DE APARELHO DE SOM,       -,       -,3.88,       -,       -,       -,       -,       -,-2.61,       -,       -,       -,       -,2.01,,
 CONSERTO DE MÁQUINA DE LAVAR ROUPA ,-1.48,0,       -,6.9,0.13,-1.07,5.48,       -,       -,-0.49,       -,       -,-2.13,0.16,,
 REFORMA DE ESTOFADO,-0.22,-2.72,-3.94,2.76,-0.47,0,-0.36,-0.82,-0.35,0,4.37,-3,0.13,-0.35,,
 MANUTENÇÃO DE MICROCOMPUTADOR,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.12,4.4,2.29,, 
 VESTUÁRIO,-1.34,-1.01,-0.77,-0.07,-0.22,-0.12,-0.31,0.15,-0.34,0.12,-0.29,-0.1,-0.68,-0.42,,
 ROUPAS,-1.76,-1.04,-0.43,-0.2,-0.34,-0.28,-0.9,-0.15,-0.85,-0.45,-0.4,-0.41,-1.65,-0.63,,
 ROUPA MASCULINA,-1.99,-0.62,-0.34,1.01,0.63,0.31,-0.4,0.07,-0.99,0.04,0.5,-0.56,-1.79,-0.13,,
 CALÇA COMPRIDA MASCULINA ,-2.88,-1.52,1.31,3.3,0.26,3.71,-0.28,1.31,-2.18,1.51,1.87,1.1,-0.38,0.3,,
 TERNO,-0.53,1.25,2.24,-1.74,       -,       -,       -,       -,       -,-0.02,1.43,1.42,       -,0.6,,
 AGASALHO MASCULINO,       -,-0.82,-0.12,       -,-2.97,0.53,       -,       -,       -,-2.96,       -,1.29,-0.69,-1.63,,
 SHORT E BERMUDA MASCULINA,-1.74,-2.01,-0.83,0.7,2.61,0.08,-2.86,-0.37,-2.28,-0.04,-2.75,-1.64,-2.91,-0.54,,
 CUECA,       -,2.92,       -,-0.47,       -,       -,0.02,2.8,0.98,       -,       -,       -,       -,1.18,,
 CAMISA / CAMISETA MASCULINA,-1.94,-0.19,-2.2,0.21,0.83,-2.05,1.36,-0.65,0.23,-0.52,-0.3,-1.51,-2.83,-0.23,,
 ROUPA FEMININA,-1.8,-1.78,-0.45,-0.76,-0.59,-0.35,-1.38,0.15,-1.18,-1.08,-1.44,-0.79,-1.86,-0.95,,
 CALÇA COMPRIDA FEMININA,-1.42,-1.65,-1.17,0.02,-1.05,2.62,0.93,0.75,1.57,0.8,-0.76,-1.42,-2.31,-0.46,,
 AGASALHO FEMININO,       -,-2.85,-2.73,       -,-2.8,       -,       -,       -,       -,-2.69,       -,       -,-2.12,-2.78,,
 SAIA,       -,       -,       -,1.47,       -,       -,-1.1,-2.12,-1.5,       -,0.55,0.61,       -,-0.63,,
 VESTIDO,-2.27,-1.56,0.12,1.57,-0.8,-2.29,-2.19,0.28,-2.9,-2.85,-2.05,-1.45,-1.26,-1.25,,
 BLUSA,-2.67,-2.16,0.21,-1.69,0.62,-2.41,-2.02,-0.07,-2.3,-2.67,-2.97,-0.4,-2.88,-1.09,,
 LINGERIE,0.69,0.82,0.07,-2.96,-2.14,3.88,-1.81,-0.12,1.32,1.65,3.13,-0.76,1.96,-0.54,,
 BERMUDA E SHORT FEMININO,-0.02,-2.81,-1.17,-1.54,       -,-0.14,-2.8,0.47,-1.73,-0.14,-1.4,0.68,-1.76,-1.18,,
 ROUPA INFANTIL,-1.16,0,-0.56,-1.56,-1.8,-1.41,-0.8,-1.67,0.37,-0.03,0.55,0.93,-0.99,-0.87,,
 UNIFORME ESCOLAR,-1.7,       -,       -,       -,1.71,       -,1.57,       -,-0.11,1.91,       -,       -,       -,0.95,,
 CALÇA COMPRIDA INFANTIL,-1.38,0.62,-1.59,-2.52,-2.37,-2.85,-2.24,-0.06,2.83,-2.46,-1.42,-1.3,-0.49,-1.48,,
 AGASALHO INFANTIL,       -,-1.21,-2.7,       -,-2.2,2.58,       -,       -,       -,-2.06,       -,0.93,-2.81,-1.7,,
 VESTIDO INFANTIL,-1.88,       -,-0.21,-0.4,-0.36,-0.64,-0.12,-0.71,-1.16,2.6,1.91,-2.37,0.11,-0.2,,
 SHORT E BERMUDA INFANTIL,-0.91,-1.23,-1.13,0.62,-1.19,-1.82,0.02,-1.02,1.93,1.24,-1.09,0.83,-2.07,-0.42,,
 CAMISA / CAMISETA INFANTIL,-0.96,0.52,0.46,-2.72,-2.8,-2.81,-2.19,-2.4,-0.69,0.37,2.04,2.9,-0.62,-1.1,,
 CONJUNTO INFANTIL,       -,       -,0.8,-0.74,0.1,-0.52,1.16,-2.32,       -,       -,0.77,0.93,       -,-0.04,,
 CALÇADOS E ACESSÓRIOS,-0.82,-1.23,-1.63,0.01,-0.01,0.53,0.67,1.05,0.6,0.88,-0.29,0.57,0.7,-0.17,,
 CALÇADOS E ACESSÓRIOS,-0.82,-1.23,-1.63,0.01,-0.01,0.53,0.67,1.05,0.6,0.88,-0.29,0.57,0.7,-0.17,,
 SAPATO MASCULINO,-0.25,-0.58,-0.75,1.11,-2.73,3.52,-0.62,2.16,1.41,-2.01,-0.71,2.06,3.87,-0.73,,
 SAPATO FEMININO,-2.53,-1.57,-2.94,2.52,0.11,0.84,3.16,-1.6,-0.19,2.51,-2.92,0.24,1.89,-0.42,,
 SAPATO INFANTIL,       -,       -,       -,0.98,       -,       -,2.27,       -,0.5,       -,       -,       -,       -,1.14,,
 SANDÁLIA / CHINELO MASCULINO,       -,       -,       -,0,       -,       -,-0.99,       -,0.03,       -,       -,       -,       -,-0.38,,
 SANDÁLIA / CHINELO FEMININO,-2.7,2.2,-2.56,-0.73,1.99,0.45,0.61,1.56,0.78,2.09,-1.06,-0.99,-2.51,0.18,,
 SANDÁLIA / CHINELO INFANTIL,       -,       -,       -,1.96,       -,2.01,1.99,0.84,1.16,       -,1.22,0.43,-1.76,1.33,,
 BOLSA ,-2.41,1.94,-2.66,1,-0.16,-2.96,0.62,-0.44,1.9,0.73,-0.49,-0.91,-2.57,-0.28,,
 TÊNIS,1.6,-2.39,-0.24,-1.69,-0.32,0.56,0.43,1.66,-0.22,0.82,1.55,1.95,1.37,-0.14,,
 JÓIAS E BIJUTERIAS,0.5,0.29,-0.42,1.42,-0.02,-1.28,0.92,0.31,0.63,2.65,0.85,-0.04,0.95,0.5,,
 JÓIAS E BIJUTERIAS,0.5,0.29,-0.42,1.42,-0.02,-1.28,0.92,0.31,0.63,2.65,0.85,-0.04,0.95,0.5,,
 BIJUTERIA,2.16,2.33,0.9,3.28,-1.27,-0.73,2.77,0.61,2.65,2.21,1.59,-0.74,1.54,1.14,,
 JÓIA,-0.44,-0.87,-1.38,0.72,1.07,-1.52,-0.15,       -,-1.71,2.89,0.24,0.36,0.49,0.08,,
 RELÓGIO DE PULSO,       -,       -,       -,-0.95,       -,       -,-0.49,-0.01,       -,       -,       -,       -,       -,-0.51,,
 TECIDOS E ARMARINHO,-0.66,-0.34,0.21,-1.41,0.29,2.19,-0.12,0.52,1.09,0.45,0.51,1.36,2.7,0.18,,
 TECIDOS E ARMARINHO,-0.66,-0.34,0.21,-1.41,0.29,2.19,-0.12,0.52,1.09,0.45,0.51,1.36,2.7,0.18,,
 TECIDO,-0.79,1.64,-0.04,-1.41,-0.26,1.48,-1.69,0.21,1.36,0.2,0.56,0.99,3.49,-0.03,,
 ARTIGOS DE ARMARINHO,       -,-3.21,0.62,       -,0.71,3.19,2.03,       -,       -,1.14,0.34,2.07,1.21,0.59,,
 ACORTINADO (MOSQUITEIRO),-0.42,1.53,       -,       -,0.57,       -,       -,1.24,-0.12,       -,       -,       -,       -,0.43,,
 TRANSPORTES,0.22,-1.04,0.16,-0.11,0.74,0.26,0.12,-0.66,0.67,1.24,0.36,-0.06,-0.34,0.34,,
 TRANSPORTES,0.22,-1.04,0.16,-0.11,0.74,0.26,0.12,-0.66,0.67,1.24,0.36,-0.06,-0.34,0.34,,
 TRANSPORTE PÚBLICO,0.55,0.4,-0.24,0.49,0.51,1.92,0.54,0.01,-0.12,1.67,1.02,0.79,1.16,0.5,,
 ÔNIBUS URBANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 TÁXI,0,0,0,0,0,       -,0,0,0,0,0,0,0,0.0,,
 TREM,0,0,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,0.0,,
 ÔNIBUS INTERMUNICIPAL,0,0.05,-3.24,0,0,       -,0,0,0,0,1.38,0.35,-0.18,-0.36,,
 ÔNIBUS  INTERESTADUAL,1.33,1.12,1.53,6.56,1.74,6.18,3.48,2.22,-1.27,1.07,4.79,1.31,3.87,2.15,,
 PASSAGEM AÉREA,7.39,6.39,7.7,-3.6,5.02,4.49,7.46,-1.31,-0.14,13.67,3.55,3.62,4.23,5.75,,
 METRÔ,0,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,0.0,,
 TRANSPORTE HIDROVIÁRIO,       -,       -,       -,       -,       -,       -,2.74,       -,       -,       -,       -,       -,       -,2.74,,
 TRANSPORTE ESCOLAR,       -,0.3,0,0,0,0,       -,       -,0,0,       -,0,       -,0.03,,
 VEÍCULO PRÓPRIO,-0.03,-1.42,-0.01,-0.13,0.23,-0.88,-0.44,-0.7,-1.4,0.95,1.55,-0.17,-1.1,-0.09,,
 AUTOMÓVEL  NOVO,0.18,-2.23,0.51,-1.29,-0.42,-0.07,-1.5,-0.81,-4.05,1.52,0.95,-0.06,-2.14,-0.64,,
 EMPLACAMENTO E  LICENÇA,0.35,0.34,0.25,0.34,0.38,0.34,0.39,0.85,0.34,0.33,0.33,0.33,0.34,0.35,,
 SEGURO VOLUNTÁRIO DE VEÍCULO,2.78,0.79,0,3.14,-0.86,0.06,       -,0.41,3.29,-1.02,3.17,1.06,-8.98,0.34,,
 MULTA,       -,       -,       -,       -,0,0,       -,       -,       -,0,0,       -,       -,0.0,,
 ÓLEO LUBRIFICANTE,-2.49,-1.23,-0.39,0.81,-0.81,-2.22,-0.82,-0.48,0.3,-0.51,-0.67,       -,1.02,-0.76,,
 ACESSÓRIOS E PEÇAS,0.19,0.31,1.44,-4.08,0.06,1.63,-1.74,1.46,-2.71,-0.99,1.81,-2.99,-2.54,-0.3,,
 PNEU ,-0.04,-0.52,0.03,-4.2,1.33,1.65,-0.48,2.35,3.07,-0.62,-0.11,0.58,-1.7,0.4,,
 CONSERTO DE AUTOMÓVEL,-1.7,-0.25,-0.86,2.86,2.27,-0.2,1.91,-0.07,-0.35,0.85,1.38,-0.4,-1.34,0.69,,
 ESTACIONAMENTO,-0.12,-0.35,-0.42,       -,-1.52,       -,       -,0,       -,       -,       -,       -,       -,-0.65,,
 PEDÁGIO,0,-8.61,       -,       -,1.72,       -,       -,       -,       -,0,       -,0,       -,0.01,,
 LUBRIFICAÇÃO E LAVAGEM,       -,       -,       -,-0.6,5.54,       -,       -,       -,       -,1.84,       -,       -,3.27,3.87,,
 AUTOMÓVEL USADO,1.88,-4.55,0.01,       -,-3.13,-6.93,-3.81,-5.17,0.32,1.65,5.13,-0.32,3.34,-0.93,,
 PINTURA DE VEÍCULO,       -,       -,       -,-0.59,4.55,3.41,       -,       -,1.19,5.48,       -,1.09,       -,3.85,,
 ALUGUEL DE VEÍCULO,-1.88,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.88,,
 MOTOCICLETA,0.69,-0.53,-0.2,0.73,1.21,-0.72,0,-1.05,0.34,0.05,0.8,0.06,-0.45,0.29,,
 COMBUSTÍVEIS (VEÍCULOS),-0.09,-1.3,0.79,-0.87,1.8,0.42,0.01,-1.45,6.01,1.51,-1.49,-0.5,0.34,0.92,,
 GASOLINA,0,-1.33,1.08,-1.46,2.18,0.87,-0.01,-1.41,7.21,1.98,-1.51,-0.45,0.65,1.06,,
 ETANOL,-1.73,-1.35,-0.64,1.38,1.4,-3.48,       -,-2.09,3.71,0.16,-2.46,-2.02,-0.77,0.73,,
 ÓLEO DIESEL,       -,0.07,-2.39,       -,0.86,       -,0.18,-0.8,0.42,-0.58,0.99,0.2,-0.67,-0.2,,
 GÁS VEICULAR,0.31,       -,       -,0.04,-2.43,       -,       -,       -,1.2,       -,       -,0.63,       -,-0.71,,
 SAÚDE E CUIDADOS PESSOAIS,0.33,0.25,0.66,0.48,0.24,0.51,0.35,0.18,0.35,0.62,0.78,0.32,-0.05,0.37,,
 PRODUTOS FARMACÊUTICOS E ÓTICOS,-0.35,-0.09,0.51,0.15,-0.77,-0.02,0.01,0.47,0.39,1.18,0.1,0.16,-1.5,-0.07,,
 PRODUTOS FARMACÊUTICOS,-0.28,-0.07,0.5,0.45,-0.9,-0.09,0.11,0.49,0.59,1.26,0.05,0.31,-1.63,-0.06,,
 ANTI-INFECCIOSO E ANTIBIÓTICO,-0.21,-0.05,2.17,0.49,-2,-0.64,0.73,1.17,0.98,2.1,-0.71,1.23,-0.88,0.06,,
 ANALGÉSICO E ANTITÉRMICO,-0.43,0.15,0.28,-0.62,-1.56,0.17,0.21,0.27,1.18,0.74,0.32,0,-0.84,-0.24,,
 ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,-0.66,-0.02,-0.82,0.87,-2.34,0.44,0.13,1.57,0.38,1.91,1.29,0.7,0.34,-0.6,,
 ANTIGRIPAL E ANTITUSSÍGENO,-0.8,0.13,0.21,2.58,-1.1,0.44,0.36,2.33,0.22,1.04,-0.67,-1.02,-0.91,-0.04,,
 DERMATOLÓGICO,0.4,-0.14,0.96,0.97,-0.55,       -,0.27,0.02,0.04,0.41,-0.05,-0.05,-1.87,0.12,,
 ANTIALÉRGICO E  BRONCODILATADOR,0.66,0.22,0.83,0.76,-1.4,-0.81,0.41,0.17,-0.58,0.24,-0.26,-0.17,-0.73,-0.25,,
 GASTROPROTETOR,-2.37,0.07,0.73,-0.62,0.39,0.12,-1.7,0.66,-0.67,0.96,-2.53,0.52,-1.15,-0.22,,
 VITAMINA E FORTIFICANTE,0.37,-1.15,-1.15,1.3,-3.18,0.43,0.11,-1.67,-0.43,0.59,-0.75,1.53,-1.8,-0.86,,
 HORMÔNIO,-2.94,-0.79,0.7,1.61,1.08,-0.23,0.57,1.71,1.17,-0.6,0.13,0.44,-2.75,0.0,,
 PSICOTRÓPICO E ANOREXÍGENO,0.32,0.18,0.83,-0.41,0.21,0.05,0.23,0.06,0.97,0.93,0.43,0.31,-2.41,0.35,,
 HIPOTENSOR E HIPOCOLESTEROLEMICO,1.1,0.07,0.06,0.22,-0.55,-0.42,0.18,0.38,0.52,2.94,0.72,0.36,-2.56,0.33,,
 OFTALMOLÓGICO,-1.15,-0.33,0.08,0.28,-2.89,       -,0.5,1.74,2.94,-0.18,-0.23,-1.32,-1.5,-0.59,,
 PRODUTOS ÓTICOS,-1.86,-0.38,0.65,-1.98,1.07,1.29,-1.37,0.38,-1.7,-0.13,0.72,-2.01,0.22,-0.21,,
 ARMAÇÃO DE ÓCULOS,       -,-1.3,       -,       -,-1.41,       -,       -,1.1,0.5,0.07,       -,       -,       -,-0.81,,
 ÓCULOS SEM GRAU,-2.27,-1.91,-0.39,-0.49,2.72,       -,-2.11,-2.64,-3.22,3.59,2.53,-3.13,-2.17,-0.1,,
 LENTES DE ÓCULOS E DE CONTATO,-1.58,0.69,1.35,-3.25,2.18,1.29,-0.85,0.83,-1.59,-2.31,-1.5,-1.45,1.4,-0.09,,
 SERVIÇOS DE SAÚDE,0.86,0.82,0.98,0.94,0.83,0.77,0.69,1.33,0.78,0.75,1.21,0.81,0.79,0.86,,
 SERVIÇOS MÉDICOS E DENTÁRIOS,0.12,0.72,1.15,0.6,0.25,0.58,0.14,2.44,0.43,0.59,0.89,-0.01,0.65,0.55,,
 MÉDICO,0.41,0,1.59,0.87,-0.49,0.65,0,1.06,0.8,0,0,0,-1.27,0.42,,
 DENTISTA,0.7,0.41,0.66,0.42,0.28,0.47,0.35,3.15,0.01,1.19,1.81,-0.02,3.2,0.66,,
 APARELHO ORTODONTICO,       -,3.71,       -,       -,1.39,       -,       -,       -,       -,0.06,       -,       -,-1.23,1.38,,
 ARTIGOS ORTOPÉDICOS,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.18,       -,       -,1.18,,
 FISIOTERAPEUTA,0,       -,       -,       -,0.38,       -,       -,       -,       -,       -,       -,       -,       -,0.31,,
 PSICÓLOGO,-1.92,0,0.43,0,0.89,       -,       -,2.98,       -,       -,       -,       -,       -,0.11,,
 SERVIÇOS LABORATORIAIS E HOSPITALARES,-0.25,0.25,0.26,0.15,0.14,-0.17,-0.68,0.53,0.33,0.29,2.01,1.28,-0.28,0.27,,
 EXAME DE LABORATÓRIO,-0.19,0.14,0.48,-0.07,       -,-0.26,-0.58,0.14,0.41,0.27,0.48,1.32,-2.21,0.12,,
 HOSPITALIZAÇÃO E CIRURGIA,0,0.16,0.18,0,0.19,0,-0.35,0,0,0.18,3.91,0.2,0,0.29,,
 EXAME DE IMAGEM,-0.83,0.78,0.15,0.49,-0.19,       -,-1.32,1.26,0.98,1.03,0,3.71,0.31,0.34,,
 PLANO DE SAÚDE,1.06,1.01,1.05,1.07,1.06,1.07,1.07,1.06,1.04,1.06,1.07,1.04,1.03,1.06,,
 PLANO DE SAÚDE,1.06,1.01,1.05,1.07,1.06,1.07,1.07,1.06,1.04,1.06,1.07,1.04,1.03,1.06,,
 CUIDADOS PESSOAIS,-0.02,-0.17,0.24,0.07,0.09,0.89,0.38,-1.26,-0.35,-0.46,1.08,-0.33,0.14,0.0,,
 HIGIENE PESSOAL,-0.02,-0.17,0.24,0.07,0.09,0.89,0.38,-1.26,-0.35,-0.46,1.08,-0.33,0.14,0.0,,
 PRODUTO PARA CABELO,0.66,1.04,-0.15,0.87,-1.46,0.88,-0.81,-0.46,-0.59,1.58,1.45,-2.48,-0.91,-0.23,,
 FRALDA DESCARTÁVEL,       -,-0.79,0.38,0.16,       -,-1.01,1.34,       -,-2.15,-0.22,-0.9,       -,-0.27,-0.43,,
 PRODUTO PARA BARBA,       -,-2.27,       -,       -,       -,       -,2.61,       -,       -,       -,       -,-0.86,       -,-0.71,,
 PRODUTO PARA PELE,-2.06,0.64,0.49,0.3,-0.47,2.06,1.83,1.47,-0.88,0.27,1.37,-1.9,-0.28,-0.01,,
 PRODUTO PARA HIGIENE BUCAL,-1.37,-0.5,-1.02,-1,0.86,3.85,-1.72,-1.99,-0.06,-2.33,-0.48,1.31,0.65,-0.39,,
