"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL,Unnamed: 15,Unnamed: 16
 TELHA,1.69,       -,0.18,       -,       -,       -,-0.3,1.23,-0.65,-0.15,-0.25,-1.31,       -,0.3,,
 ARTIGOS DE LIMPEZA,-1.33,0.61,0.52,0.88,-0.44,1.04,-0.3,0.73,0.15,0.87,0.27,-0.85,0.74,0.04,,
 ÁGUA SANITÁRIA,0.08,       -,2.83,2.44,-1.07,-1.22,-0.07,2.57,-1.65,-1,       -,       -,       -,-0.13,,
 DETERGENTE,-1.39,1.54,-2.83,-0.49,-0.13,0.76,-1.17,-0.71,-0.61,0.98,-1.29,0.7,2.27,-0.37,,
 SABÃO EM PÓ,-1.54,-0.22,0.99,0.53,-0.63,2.39,0.44,0.79,0.59,0.81,0.78,-2.91,1.62,0.01,,
 DESINFETANTE,0.08,-0.26,0.66,1.01,       -,-0.75,-1.54,1.98,0.34,-2.56,0.34,-0.88,0.61,-0.05,,
 INSETICIDA,-2.72,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-2.72,,
 SABÃO EM BARRA,-0.12,0.37,2.44,1.74,0.75,-1.08,-1.16,0.23,-0.56,2.15,-0.71,0.92,0.9,0.63,,
 ESPONJA DE LIMPEZA,       -,2.52,-0.33,-0.52,-1.48,       -,-0.75,-1.09,       -,-0.59,1.66,0.5,-1.86,-0.58,,
 AMACIANTE,-1.89,1.95,1.09,       -,-0.22,1.29,-0.36,1.69,1.74,2.33,0.54,1.21,-0.87,0.52,,
 COMBUSTÍVEIS E ENERGIA,0.27,0.07,1.51,-0.98,-1.42,-0.4,-0.42,-0.61,-0.18,-0.22,0.99,-0.02,0.16,-0.28,,
 COMBUSTÍVEIS (DOMÉSTICOS),1.88,0.02,5.54,-0.22,-0.31,-2.94,1.35,-1.68,-0.44,-0.89,0.27,-0.81,-0.18,0.6,,
 CARVÃO VEGETAL,       -,1.22,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.22,,
 GÁS DE BOTIJÃO,0.69,-0.07,5.54,-0.22,-0.34,-2.94,1.35,-1.68,-0.44,-0.96,0.27,-0.81,-0.18,0.46,,
 GÁS ENCANADO,5.85,       -,       -,       -,0,       -,       -,       -,       -,0,       -,       -,       -,2.96,,
 ENERGIA ELÉTRICA RESIDENCIAL,-0.24,0.09,-0.04,-1.34,-1.76,0.28,-1.14,0.05,0,0,1.29,0.23,0.27,-0.6,,
 ENERGIA ELÉTRICA RESIDENCIAL,-0.24,0.09,-0.04,-1.34,-1.76,0.28,-1.14,0.05,0,0,1.29,0.23,0.27,-0.6,,
 ARTIGOS DE RESIDÊNCIA,0.59,-0.09,0.47,-0.39,-0.31,-0.09,0.41,-0.09,-1.2,-0.01,-0.28,-0.15,-0.95,-0.1,,
 MÓVEIS E UTENSÍLIOS,0.68,0.16,1.18,-0.63,-0.21,-0.47,0.09,0.24,-1.28,0.16,-0.2,-0.41,-1.4,0.03,,
 MOBILIÁRIO,0.34,0.28,0.92,-0.57,-0.18,-1.3,0.14,0.61,-2.45,-0.92,0.2,-0.07,-1.69,-0.19,,
 MÓVEL PARA SALA,-0.36,-0.87,2.05,0.64,-3,-2.04,1.23,-0.38,-2.14,-1.6,0.78,-1.02,-1.6,-0.8,,
 MÓVEL PARA QUARTO,1.25,0.8,0.22,-0.65,2.32,-0.07,-0.15,0.68,1.69,0.26,0.64,0.8,-2.25,1.02,,
 MÓVEL PARA COPA E COZINHA,0.32,1.97,-1.15,2.43,-1.34,-1.84,0.54,2.21,-1.05,-1.35,-0.51,0.25,-1.99,-0.35,,
 MÓVEL INFANTIL,       -,       -,       -,-1.05,       -,       -,1.12,-2.14,       -,       -,-2.82,       -,       -,-0.8,,
 COLCHÃO,0.64,-2.18,0.49,-9.02,1.27,0.53,-1.89,2.81,-12.5,-2.59,-1.38,-1.82,0.84,-1.88,,
 UTENSÍLIOS E ENFEITES,0.63,1,1.49,-0.63,0.48,0.77,0.09,-0.5,0.97,0.98,1.4,-0.65,0.2,0.68,,
 TAPETE,-1.29,2.46,2.25,-0.27,-3.55,-0.86,-0.26,       -,-2.14,2.53,-1.8,-2.22,1.97,0.15,,
 CORTINA,-0.25,1.67,1.04,0.66,2.51,-0.29,0.67,0.68,1.79,3.33,0.94,-1.2,0.69,1.57,,
 UTENSÍLIOS DE METAL,-2,2.4,-0.26,-4.46,3.26,2.01,2.56,0.63,0.15,1.07,0.5,0.31,2.34,1.29,,
 UTENSÍLIOS DE VIDRO E LOUÇA,2.17,0.98,-0.07,-2.92,-3.92,0.83,-2.95,-2.87,3.37,-0.06,2.46,0.27,3.74,-0.83,,
 UTENSÍLIOS DE PLÁSTICO,-2.55,-2.4,       -,8.29,0.67,-4.47,0.59,-5.43,-0.78,0.84,6.25,4.82,-1.14,0.17,,
 FLORES NATURAIS,       -,0.4,       -,       -,-0.83,       -,       -,       -,1.23,-4.25,       -,       -,2.38,-0.61,,
 UTENSÍLIOS DIVERSOS,2.52,-0.25,2.22,-0.96,0.84,3.18,-1.17,2.1,2.26,-0.39,1.87,-1.29,-3.13,1.01,,
" CAMA, MESA E BANHO",2.95,-1.59,1.67,-0.8,-1.81,1.6,-0.01,-0.55,-0.06,3.11,-3.88,-1.49,-2.54,-0.17,,
 ROUPA DE CAMA,1.17,-2.19,-0.29,-0.97,-4.3,1.6,-0.2,-2.66,0.9,2.61,-3.88,-1.46,-3.25,-1.17,,
 ROUPA DE BANHO,7.57,0.09,6.91,-0.42,3.27,       -,0.94,4.34,-3.93,4.72,       -,-1.57,-0.65,2.76,,
 APARELHOS ELETROELETRÔNICOS,0.66,-0.44,-0.53,-0.53,-0.62,0.03,0.72,-0.09,-1.55,-0.3,0.24,0.18,-0.97,-0.34,,
 ELETRODOMÉSTICOS E EQUIPAMENTOS,2.19,0.74,0.59,-0.06,-0.72,-0.16,0.91,0.43,-1.01,0.21,-0.1,0.78,-0.42,0.18,,
 REFRIGERADOR,4.14,1.4,1.91,1.32,-0.97,-0.11,2.46,1.37,-0.72,0.88,-1,0.37,-0.57,0.74,,
 AR-CONDICIONADO,-1.24,0.27,       -,0.69,       -,       -,-1.44,       -,       -,1,       -,2.62,-2.88,-0.3,,
 MÁQUINA DE LAVAR ROUPA,-0.4,1.57,-0.15,0.29,-0.38,-0.4,0.41,-4.12,-1.16,0.27,1.59,3.07,-1.29,-0.05,,
 LIQUIDIFICADOR,       -,       -,       -,       -,       -,       -,-3.45,       -,       -,       -,       -,       -,       -,-3.45,,
 VENTILADOR,0.43,       -,       -,-3.72,       -,       -,1.46,2.63,       -,       -,       -,       -,1.08,0.02,,
 FOGÃO,2.77,0.43,-1.06,-1.32,-1.1,0.07,-0.26,-0.17,-1.66,-2.23,0.7,-1.53,1.95,-0.43,,
 CHUVEIRO ELÉTRICO,       -,-0.08,       -,       -,0.94,       -,       -,       -,       -,       -,       -,       -,       -,0.66,,
 FORNO DE MICRO-ONDAS,       -,-2.16,-1.26,       -,-0.85,       -,       -,       -,       -,0.83,-0.9,       -,       -,-0.86,,
" TV, SOM E INFORMÁTICA",-1.29,-2.58,-2.08,-1.29,-0.47,0.27,0.36,-0.8,-2.25,-1.22,0.74,-0.7,-1.95,-1.11,,
 TELEVISOR,0.81,0.05,-0.69,-2.18,1.06,0.54,3.16,1.57,-2.25,-1.34,-1.53,0.23,-0.58,0.15,,
 APARELHO DE SOM,-0.44,-1.37,-0.53,1.28,-2.08,0.97,-4.25,0.04,-2.21,-3.34,0.61,0.18,0.94,-1.2,,
 APARELHO DE DVD,0.35,-0.22,-2.86,-4.54,-2.33,-1.56,3.29,1.19,-0.47,0.81,-1.06,-0.95,-0.24,-0.98,,
 ANTENA,       -,       -,       -,-1.29,       -,       -,0.36,-0.8,       -,       -,0.74,       -,       -,-0.29,,
 MICROCOMPUTADOR,-3.26,-4.84,-2.88,-0.41,-0.83,0.22,-2.01,-4.11,-2.61,-1.06,2.32,-1.45,-3.44,-1.92,,
 CONSERTOS  E  MANUTENÇÃO,-0.12,-0.02,-1.19,2.46,0.42,2.12,0.53,-2.13,1.79,0.35,-2.54,0.33,0.96,0.19,,
 CONSERTOS E MANUTENÇÃO,-0.12,-0.02,-1.19,2.46,0.42,2.12,0.53,-2.13,1.79,0.35,-2.54,0.33,0.96,0.19,,
 CONSERTO DE REFRIGERADOR,-0.47,-0.05,-2.68,3.35,-0.85,0.39,0,       -,0,4.07,2.72,0,2.46,0.11,,
 CONSERTO DE TELEVISOR,1.17,-1.21,-0.81,3.55,0,3.42,0,0,-0.5,0,4.19,1.36,-2.79,0.38,,
 CONSERTO DE APARELHO DE SOM,       -,       -,-1.19,       -,       -,       -,       -,       -,-0.29,       -,       -,       -,       -,-0.97,,
 CONSERTO DE MÁQUINA DE LAVAR ROUPA ,-1.07,0.71,       -,0,0.47,1.8,3.02,       -,       -,-0.57,       -,       -,1.32,0.4,,
 REFORMA DE ESTOFADO,0,-0.04,-0.6,1.29,1.15,2.09,0.08,-3.09,3.99,-0.26,-6.67,-0.02,3.2,0.1,,
 MANUTENÇÃO DE MICROCOMPUTADOR,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.58,-3.23,-1.45,, 
 VESTUÁRIO,0.48,-1.37,-0.39,-0.61,0.11,-0.55,-0.34,-0.77,-0.72,-0.24,-1.54,-0.38,-1.41,-0.36,,
 ROUPAS,0.63,-1.59,-0.63,-0.62,0.12,-1.04,0.32,-1.12,-1.38,-0.33,-0.95,-0.11,-1.19,-0.41,,
 ROUPA MASCULINA,1.15,-1.03,-0.51,-0.91,1.78,0.18,0.19,-0.01,0.07,-1.16,-1.07,-0.03,-2.75,0.23,,
 CALÇA COMPRIDA MASCULINA ,0,-1.14,-2.63,1.17,2.75,-0.4,2.64,0.28,-1.71,-0.13,0.78,-0.11,-2.57,0.56,,
 TERNO,0.8,1.88,0.94,-1.53,       -,       -,       -,       -,       -,0.5,0.44,1.71,       -,0.67,,
 AGASALHO MASCULINO,       -,-1.03,-0.51,       -,1.78,0.18,       -,       -,       -,-1.16,       -,-0.03,-2.75,0.0,,
 SHORT E BERMUDA MASCULINA,0.27,-0.66,-1.17,-0.11,2.07,-1.14,1.2,-0.19,-0.71,1.57,-2.47,0.34,-2.75,0.34,,
 CUECA,       -,-1.31,       -,2.76,       -,       -,-1.69,2.88,1.68,       -,       -,       -,       -,0.39,,
 CAMISA / CAMISETA MASCULINA,2.43,-1.33,0.77,-2.81,1.04,1,-2.09,-0.33,1.37,-2.92,-2.95,-0.38,-2.91,-0.06,,
 ROUPA FEMININA,0.89,-2.35,-1.71,-0.73,-0.91,-2.64,0.4,-1.74,-2.46,0.04,-1.09,-0.53,0.03,-0.98,,
 CALÇA COMPRIDA FEMININA,2.29,-2.4,-1.31,2.79,2.73,-2.66,-2.98,-1.36,-2.99,-2.83,-1.21,-2.05,-2.99,-0.15,,
 AGASALHO FEMININO,       -,-2.35,-1.71,       -,-0.91,       -,       -,       -,       -,0.04,       -,       -,0.03,-1.32,,
 SAIA,       -,       -,       -,-2.71,       -,       -,3.76,-2.98,1.76,       -,-0.78,-1.07,       -,0.32,,
 VESTIDO,2.47,-3.43,-2.95,-2.99,-2.07,-3.52,-2.69,-2.6,-3.91,-0.91,-2.18,-0.22,1.95,-1.88,,
 BLUSA,-0.62,-2.49,-2.17,-2.85,-2.72,-2.93,3.43,-1.88,-2.73,3.67,-0.35,-0.02,0.82,-1.37,,
 LINGERIE,2.34,-0.4,0.65,-0.15,-1.65,1.53,-1.8,0.71,1.93,-1.87,0.3,3.95,0.23,-0.36,,
 BERMUDA E SHORT FEMININO,-1.98,-2.91,0.13,-0.8,       -,-0.94,3.2,-1.44,-2.42,0.25,-2.75,-2.85,3.19,-0.81,,
 ROUPA INFANTIL,-1.26,-0.8,1.78,0.29,-0.89,0.28,0.39,-1.66,-1.73,0.75,-0.37,0.87,-1.15,-0.29,,
 UNIFORME ESCOLAR,1.98,       -,       -,       -,2.49,       -,2.87,       -,0.96,2,       -,       -,       -,2.2,,
 CALÇA COMPRIDA INFANTIL,3.08,-1.48,-0.18,1.9,-2.62,1.74,-1.89,-1.73,-2.86,0.84,1.27,0.41,-2.15,-0.78,,
 AGASALHO INFANTIL,       -,-0.8,1.78,       -,-0.89,0.28,       -,       -,       -,0.75,       -,0.87,-1.15,-0.16,,
 VESTIDO INFANTIL,-2.6,       -,3.78,1.21,2.43,-0.07,-3.66,-0.71,-2.71,0.04,2.38,0.32,1.03,0.32,,
 SHORT E BERMUDA INFANTIL,-2.24,1.16,1.31,-2.33,1.95,0.44,2.22,-2.43,0.26,2.79,-3,1.63,-2.65,0.47,,
 CAMISA / CAMISETA INFANTIL,-2.59,-1.03,2.53,0.1,-2.51,-0.17,2.39,-3,-2.47,0.24,-0.85,0.87,-0.51,-0.95,,
 CONJUNTO INFANTIL,       -,       -,1.67,0.99,1.17,-0.06,-0.67,1.35,       -,       -,-2.8,0.72,       -,0.72,,
 CALÇADOS E ACESSÓRIOS,0.4,-1.58,-0.15,-0.49,0.12,0.19,-1.45,-0.53,-0.09,-0.3,-2.97,-0.86,-1.83,-0.42,,
 CALÇADOS E ACESSÓRIOS,0.4,-1.58,-0.15,-0.49,0.12,0.19,-1.45,-0.53,-0.09,-0.3,-2.97,-0.86,-1.83,-0.42,,
 SAPATO MASCULINO,-0.89,-3.76,-1.24,-3.63,-1.75,2.17,0.18,0.64,-1.67,-0.19,-3,0.63,-3,-1.5,,
 SAPATO FEMININO,2.83,-3.11,2.05,-2.26,1.58,0.52,-2.4,0.74,1.42,-2.19,-3.21,-2.91,-1.99,0.09,,
 SAPATO INFANTIL,       -,       -,       -,-2.45,       -,       -,1.46,       -,0.73,       -,       -,       -,       -,0.01,,
 SANDÁLIA / CHINELO MASCULINO,       -,       -,       -,0.82,       -,       -,-2.77,       -,3.28,       -,       -,       -,       -,0.13,,
 SANDÁLIA / CHINELO FEMININO,-0.6,-2.36,-2.36,-0.56,0.17,-1.94,-2.48,0.05,-0.62,-2.86,-3.78,-1.35,-3.54,-1.15,,
 SANDÁLIA / CHINELO INFANTIL,       -,       -,       -,2.98,       -,1.93,-0.32,-1.54,2.32,       -,-1.15,0.03,-1.71,0.61,,
 BOLSA ,2.13,-0.22,2.49,-2.21,0.01,-0.69,-0.78,0.05,-0.92,0.05,-2.65,1.5,-1.88,0.1,,
 TÊNIS,-0.52,-0.61,-0.02,1.69,-0.03,0.58,-1.55,-2.45,-0.46,1.61,-2.69,-0.92,-0.47,-0.14,,
 JÓIAS E BIJUTERIAS,-0.84,1.39,0.6,-1.1,-0.41,1.7,-1.62,1.84,3.2,0.81,-0.53,-1.24,-0.83,0.21,,
 JÓIAS E BIJUTERIAS,-0.84,1.39,0.6,-1.1,-0.41,1.7,-1.62,1.84,3.2,0.81,-0.53,-1.24,-0.83,0.21,,
 BIJUTERIA,1.81,-0.89,-2.66,-2.64,1.19,-2.11,-0.94,-0.2,3.73,-0.91,0.61,1.52,-0.76,0.15,,
 JÓIA,-2.47,2.67,3.39,2.94,-1.83,3.64,-1.85,       -,2.59,1.75,-1.42,-2.78,-0.88,0.36,,
 RELÓGIO DE PULSO,       -,       -,       -,-2.87,       -,       -,-2.69,3.84,       -,       -,       -,       -,       -,-0.89,,
 TECIDOS E ARMARINHO,0.4,0.76,1.45,-0.72,1.59,2.19,-1.42,3.77,-0.72,0.93,2.28,0.45,-4.48,0.86,,
 TECIDOS E ARMARINHO,0.4,0.76,1.45,-0.72,1.59,2.19,-1.42,3.77,-0.72,0.93,2.28,0.45,-4.48,0.86,,
 TECIDO,0.72,-0.71,0.65,-0.72,-1.16,3.89,-0.18,3.05,-1.99,0.61,2.53,0.03,-2.66,0.05,,
 ARTIGOS DE ARMARINHO,       -,0.11,2.85,       -,4.24,-0.22,-3.07,       -,       -,1.8,1.54,1.22,-7.62,1.77,,
 ACORTINADO (MOSQUITEIRO),-0.18,4.52,       -,       -,2.53,       -,       -,5.49,5.77,       -,       -,       -,       -,2.64,,
 TRANSPORTES,0.38,-0.58,1.91,1.17,0.49,2.18,1.5,2.34,0.91,0.28,0.86,2.03,1.17,0.77,,
 TRANSPORTES,0.38,-0.58,1.91,1.17,0.49,2.18,1.5,2.34,0.91,0.28,0.86,2.03,1.17,0.77,,
 TRANSPORTE PÚBLICO,0.21,-0.71,5.32,4.01,-0.25,4.17,2.28,4.98,5.13,-2.22,0.37,6.06,3.27,1.47,,
 ÔNIBUS URBANO,0,0,8.38,6.92,0,14.75,5.56,9.09,8.5,0,0,15.19,6.61,2.84,,
 TÁXI,0,0,0,7.3,0,       -,0,0,0,0,0,0,0,0.39,,
 TREM,0,0,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,0.0,,
 ÔNIBUS INTERMUNICIPAL,6.84,0.05,8.15,3.6,1.22,       -,0.06,0,5.43,0,-0.43,0,0,3.55,,
 ÔNIBUS  INTERESTADUAL,0.01,-1.08,-1.86,-0.18,0.79,-4.44,1.31,-0.06,0.33,-0.11,2.5,0.19,0.57,0.04,,
 PASSAGEM AÉREA,-9.65,-9.32,-10.21,-12.57,-4.81,-5.52,-12.44,-10.07,-4.6,-13.22,1.11,-1.59,1.47,-7.36,,
 METRÔ,0,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,0.0,,
 TRANSPORTE HIDROVIÁRIO,       -,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,0.0,,
 TRANSPORTE ESCOLAR,       -,-1.13,0,0,2.17,0,       -,       -,0,0,       -,0,       -,0.77,,
 VEÍCULO PRÓPRIO,0.16,-0.45,-0.21,1.25,-0.29,0.06,0.88,0.9,0.4,0.63,-0.3,1,0.12,0.05,,
 AUTOMÓVEL  NOVO,-0.43,0.62,-0.76,1.6,-0.49,0.34,2.5,1.3,1.05,0.27,-1.18,1.54,1.16,0.09,,
 EMPLACAMENTO E  LICENÇA,0.35,0.34,0.26,0.34,0.37,0.34,0.39,0.85,0.34,0.32,0.33,0.34,0.34,0.35,,
 SEGURO VOLUNTÁRIO DE VEÍCULO,6.85,-0.68,-1.13,2.45,1.34,2.16,       -,0,3.05,4.31,0.2,-5.88,5.55,1.62,,
 MULTA,       -,       -,       -,       -,0,0,       -,       -,       -,0,0,       -,       -,0.0,,
 ÓLEO LUBRIFICANTE,2.94,1.79,1.37,2.47,-2.41,0.5,-0.07,-0.63,0.77,0.48,-1.43,       -,-0.9,-0.25,,
 ACESSÓRIOS E PEÇAS,0.09,1.85,0.08,1.21,-2.34,2.4,-2.22,-0.16,0.86,-0.54,0.98,0.97,0.08,-0.33,,
 PNEU ,-1.86,1.34,-1.24,1.76,-1.05,0.64,0.02,-1.24,2.56,1.52,-0.04,-1.19,-0.7,0.03,,
 CONSERTO DE AUTOMÓVEL,0.06,-1.81,1.2,0.81,-0.73,-0.43,1.28,1.55,-1.29,-0.21,0.47,1.31,-1.2,-0.26,,
 ESTACIONAMENTO,-0.2,-1.15,0.22,       -,0.29,       -,       -,0.68,       -,       -,       -,       -,       -,-0.03,,
 PEDÁGIO,0.58,0,       -,       -,0,       -,       -,       -,       -,0,       -,1.81,       -,0.13,,
 LUBRIFICAÇÃO E LAVAGEM,       -,       -,       -,5.55,0.81,       -,       -,       -,       -,3.65,       -,       -,-3.32,1.83,,
 AUTOMÓVEL USADO,0.39,-4.88,-1.56,       -,0.74,-1.62,2.95,-6.38,0.01,1.4,2.15,0.18,1.33,-0.18,,
 PINTURA DE VEÍCULO,       -,       -,       -,0.91,-0.37,1.32,       -,       -,2.83,1.77,       -,3.03,       -,0.52,,
 ALUGUEL DE VEÍCULO,1.96,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.96,,
 MOTOCICLETA,-1.8,0.45,0.35,0.41,-0.02,-0.56,0.13,2.8,0.56,1.33,-3.36,0.58,-0.88,0.18,,
 COMBUSTÍVEIS (VEÍCULOS),1.08,-0.71,2.48,-2.32,2.26,3.47,0.84,1.88,-3.03,1.14,2.56,1.03,2.05,1.28,,
 GASOLINA,1.14,-1.21,2.28,-3.11,1.83,3.37,0.8,1.89,-4.16,0.43,2.36,0.87,1.77,0.84,,
 ETANOL,2.43,3.98,4.63,0.57,3.28,4.4,       -,2.2,0.11,3.45,3.26,2.9,6.12,3.1,,
 ÓLEO DIESEL,       -,3.55,2.09,       -,1.66,       -,1.35,1.26,1.07,2.05,3.66,3.17,1.08,1.95,,
 GÁS VEICULAR,-0.22,       -,       -,0.03,0,       -,       -,       -,0.09,       -,       -,0.04,       -,-0.11,,
 SAÚDE E CUIDADOS PESSOAIS,0.07,0.38,0.67,0.28,0.63,0.29,0.69,0.17,0.23,1.79,0.49,0.49,0.01,0.55,,
 PRODUTOS FARMACÊUTICOS E ÓTICOS,-0.95,0.07,0.02,-0.09,0.52,-0.09,0.25,0.18,-0.27,4.28,-0.25,-0.19,-0.6,0.38,,
 PRODUTOS FARMACÊUTICOS,-0.95,0.1,0.03,-0.14,0.73,-0.13,0.52,0.18,-0.29,4.57,-0.35,-0.24,-0.77,0.47,,
 ANTI-INFECCIOSO E ANTIBIÓTICO,-2.11,-2.96,-0.93,2.76,0.43,0.16,0.62,-2.31,1.76,3.68,0.34,0.95,1.3,0.16,,
 ANALGÉSICO E ANTITÉRMICO,1.05,0.11,0.75,-0.55,1.79,-0.01,0.99,-0.12,-0.27,5.67,0.19,-0.14,0.8,1.24,,
 ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,-0.64,-0.62,-0.63,-2.92,1.18,-0.74,0.28,1.26,-0.4,3.79,-1.14,0.97,-2.3,0.36,,
 ANTIGRIPAL E ANTITUSSÍGENO,0.37,0.01,0.56,-2.01,1.53,-0.77,1.9,-3.74,-0.44,3.76,-0.76,-1.88,0.88,0.66,,
 DERMATOLÓGICO,0.53,-0.98,-0.59,-0.56,0.52,       -,0.14,0.34,-0.71,3.9,0.1,-0.65,-1.2,0.2,,
 ANTIALÉRGICO E  BRONCODILATADOR,-0.19,-0.29,1.03,0.36,-0.17,0.5,-0.09,-1.05,0.19,4.04,-1.82,-0.32,-2.57,0.21,,
 GASTROPROTETOR,0.34,0.32,-0.6,-1.54,0.22,0.25,1.03,-0.74,0.45,7.46,0.37,-0.33,-1.94,0.61,,
 VITAMINA E FORTIFICANTE,-1.34,0.36,-0.78,2.35,2.33,0.19,0.51,1.2,0.83,5.63,-0.04,-1.09,-0.01,1.34,,
 HORMÔNIO,-2.13,1.91,-0.41,-0.96,-0.35,-0.8,-0.03,1.09,-0.99,5.41,0.07,-0.68,0.43,0.04,,
 PSICOTRÓPICO E ANOREXÍGENO,-1.14,0.62,0.34,0.8,-0.2,-0.29,-0.25,-0.07,-1.17,4.77,-0.07,-0.51,-0.45,0.29,,
 HIPOTENSOR E HIPOCOLESTEROLEMICO,-1.7,0.03,0.45,-0.04,0.54,-0.03,-0.37,1.69,-1.03,3.37,-0.69,-0.05,-3.62,0.11,,
 OFTALMOLÓGICO,-0.49,1.27,-0.71,0.37,5.37,       -,0.35,0.8,-0.04,3.57,0.11,0.35,-0.03,1.74,,
 PRODUTOS ÓTICOS,-0.97,-0.35,-0.27,0.24,-2.44,0.69,-3.08,0.19,-0.1,0.01,1.04,0.57,1.61,-0.82,,
 ARMAÇÃO DE ÓCULOS,       -,-8.36,       -,       -,-4.45,       -,       -,0.95,1.66,-0.33,       -,       -,       -,-3.3,,
 ÓCULOS SEM GRAU,-3.14,-1.36,1.64,1.95,-5.49,       -,-2.09,-0.02,-0.15,3.11,0.71,1.73,-0.24,-1.14,,
 LENTES DE ÓCULOS E DE CONTATO,0.7,2.96,-1.59,-1.11,1.59,0.69,-3.73,-0.02,-0.82,-1.64,1.48,0.01,2.54,0.15,,
 SERVIÇOS DE SAÚDE,0.92,0.97,1.26,0.81,0.84,1.03,0.84,0.86,1.11,0.36,1.3,0.95,0.7,0.9,,
 SERVIÇOS MÉDICOS E DENTÁRIOS,0.54,-0.35,1.95,-0.41,0.44,0.64,0.42,0.32,1.07,0.69,1.63,0.42,-0.29,0.71,,
 MÉDICO,0.52,-0.77,1.92,-0.95,0.12,0.94,0,0,0.82,0,1.81,0,-0.88,0.54,,
 DENTISTA,0.34,-0.64,2.25,0.22,0.88,0.15,1.08,0.42,1.35,0.68,1.67,1.51,0.06,0.98,,
 APARELHO ORTODONTICO,       -,0.48,       -,       -,0.28,       -,       -,       -,       -,2.16,       -,       -,1.46,0.92,,
 ARTIGOS ORTOPÉDICOS,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.35,       -,       -,0.35,,
 FISIOTERAPEUTA,0.7,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,0.12,,
 PSICÓLOGO,0.99,0.97,0.29,0,-0.15,       -,       -,0.89,       -,       -,       -,       -,       -,0.3,,
 SERVIÇOS LABORATORIAIS E HOSPITALARES,-0.35,2.1,0.34,1.02,-0.21,1.41,0.21,0.67,1.44,-1.51,1.34,1.44,0.29,0.27,,
 EXAME DE LABORATÓRIO,1.41,0.41,-0.32,2.93,       -,1.72,-0.04,0.49,1.3,-0.41,2.5,-0.25,0.26,0.81,,
 HOSPITALIZAÇÃO E CIRURGIA,-1.75,2.79,0.46,0.13,-0.3,0.87,0.39,0.17,1.89,-1.92,0.81,2.59,0,0.04,,
 EXAME DE IMAGEM,1.18,1.04,0.95,-0.03,0.38,       -,0.61,1.2,0.64,0.33,0.41,0,0.83,0.63,,
 PLANO DE SAÚDE,1.07,1.05,1.06,1.07,1.07,1.07,1.07,1.07,1.06,1.07,1.07,1.06,1.05,1.07,,
 PLANO DE SAÚDE,1.07,1.05,1.06,1.07,1.07,1.07,1.07,1.07,1.06,1.07,1.07,1.06,1.05,1.07,,
 CUIDADOS PESSOAIS,-0.56,-0.13,0.52,-0.18,0.21,-0.29,0.94,-0.49,-0.39,0.58,0.29,0.74,-0.44,0.1,,
 HIGIENE PESSOAL,-0.56,-0.13,0.52,-0.18,0.21,-0.29,0.94,-0.49,-0.39,0.58,0.29,0.74,-0.44,0.1,,
 PRODUTO PARA CABELO,0.8,4.78,0.48,0.49,2.01,2.66,0.4,2.48,1.59,1.99,0.96,-0.16,0.42,1.74,,
 FRALDA DESCARTÁVEL,       -,4.47,2.14,-0.39,       -,-4.13,2.08,       -,-0.77,-2.22,1.57,       -,3.2,0.84,,
 PRODUTO PARA BARBA,       -,-1.76,       -,       -,       -,       -,2.95,       -,       -,       -,       -,2.32,       -,0.13,,
 PRODUTO PARA PELE,1.63,-0.62,0.66,-0.32,0.4,1.75,0.2,0.19,0.3,1.92,-0.86,0.37,-0.07,0.58,,
 PRODUTO PARA HIGIENE BUCAL,4.11,-1.74,2.44,-0.66,-0.91,-0.91,0.64,0.05,-0.41,1.75,0.43,3.7,1.13,0.58,,
 PRODUTO PARA UNHAS,-2.01,4.17,1.04,-3.46,-0.45,       -,0.13,4.23,-1.19,       -,0.9,       -,-0.96,-0.05,,
 PERFUME,-1.76,-2.04,-0.54,-0.29,-0.14,-0.7,1.55,-1.4,-0.65,-0.31,0.26,0.7,-1.53,-0.47,,
 DESODORANTE,0.84,2.84,3.06,-0.17,2.29,2.59,-2.12,-3.29,2.35,2.29,0.4,-0.95,-0.4,1.42,,
 ABSORVENTE HIGIÊNICO,       -,       -,       -,0.59,       -,       -,2.2,-0.03,       -,       -,       -,       -,       -,1.07,,
 SABONETE,0.73,2.32,2.22,1.48,0.67,-0.99,0.08,3.13,1.2,3.02,1.28,2.03,-2.05,1.27,,
