"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - AGOSTO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL,Unnamed: 15,Unnamed: 16
 REVESTIMENTO DE PISO E PAREDE,-0.81,2.19,-1.88,-0.05,4.45,4.08,-0.21,2.5,-2.72,0.02,2.3,1.17,0.05,1.25,,
 CIMENTO,1.45,2.71,-2.91,0.03,-0.54,-0.17,-0.11,3.01,-0.89,-1.32,-1.01,-0.36,0.64,-0.11,,
 TIJOLO,       -,0.4,2.44,0.01,-0.13,1.57,1.35,-2,1.16,-1.02,0.95,-1.03,       -,0.4,,
 MATERIAL HIDRÁULICO,       -,       -,0.25,       -,1.53,       -,1.5,       -,0.06,0.46,       -,0.27,       -,0.95,,
 MÃO DE OBRA,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,,
 AREIA ,-0.61,       -,-0.16,       -,       -,       -,       -,-0.5,-2.74,-1.89,2.53,-0.33,       -,-0.7,,
 TELHA,0.33,       -,-1.2,       -,       -,       -,0.02,1.32,2.93,-0.51,-0.8,1.58,       -,-0.09,,
 ARTIGOS DE LIMPEZA,-2.53,-0.94,0.06,-2.12,-1.32,-0.64,-1.98,-0.59,-0.12,0.11,-0.41,-0.24,0.68,-0.96,,
 ÁGUA SANITÁRIA,-2.54,       -,0.06,-0.53,1.64,-0.35,-2.76,-0.06,0.21,-3.93,       -,       -,       -,-0.19,,
 DETERGENTE,-2.44,-1.13,-1.32,0.84,-3.05,-0.67,0.47,-2.96,0.41,0.61,-2.81,1.12,-0.8,-1.65,,
 SABÃO EM PÓ,-2.85,-1.24,-0.84,-6.45,-1.05,-0.22,-3.48,-0.15,-1.36,1.38,-0.51,-1.03,0.17,-1.39,,
 DESINFETANTE,1.83,-1.11,-0.16,-2.67,       -,-2.92,-0.21,-1.27,6.13,1.99,-1.27,-2.29,-0.68,0.51,,
 INSETICIDA,0.14,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.14,,
 SABÃO EM BARRA,-3.76,-1.18,0.06,2.63,-0.22,-3.8,-1.29,-1.38,-2.07,-5.18,1.42,0.04,2.29,-0.85,,
 ESPONJA DE LIMPEZA,       -,1.67,1.98,-0.17,-0.49,       -,0.19,1.27,       -,-4.43,-1.05,3.3,-0.31,-0.11,,
 AMACIANTE,-4.89,-0.54,2.66,       -,-2.13,1.37,-1.2,0.86,1.21,2.45,0.52,-0.02,2.67,-0.51,,
 COMBUSTÍVEIS E ENERGIA,1.76,2.44,-1.85,-2.93,2.92,2.86,4.45,-1.12,-4.21,2.62,-1.14,6.41,1.54,1.28,,
 COMBUSTÍVEIS (DOMÉSTICOS),0.79,-1.37,-0.25,1.3,0.57,-0.09,-2.17,-0.53,-5.97,-0.98,-0.61,1.58,0.19,-0.64,,
 CARVÃO VEGETAL,       -,-1.09,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-1.09,,
 GÁS DE BOTIJÃO,0.71,-1.39,-0.25,1.3,0.63,-0.09,-2.17,-0.53,-5.97,-1.05,-0.61,1.58,0.19,-0.71,,
 GÁS ENCANADO,1.03,       -,       -,       -,0,       -,       -,       -,       -,0,       -,       -,       -,0.54,,
 ENERGIA ELÉTRICA RESIDENCIAL,2.05,3.86,-2.49,-4.73,3.64,3.61,7.01,-1.48,-3.03,3.67,-1.36,7.81,2.03,1.97,,
 ENERGIA ELÉTRICA RESIDENCIAL,2.05,3.86,-2.49,-4.73,3.64,3.61,7.01,-1.48,-3.03,3.67,-1.36,7.81,2.03,1.97,,
 ARTIGOS DE RESIDÊNCIA,0.74,0.31,0.34,0.3,0.16,-0.23,0.12,0.15,-0.54,-0.08,0.97,-0.03,0.11,0.2,,
 MÓVEIS E UTENSÍLIOS,0.12,0.86,0.53,0.97,0.62,0.1,-0.19,0.18,-0.37,0.09,1.17,0.06,0.4,0.41,,
 MOBILIÁRIO,-0.31,0.18,0.77,0.87,0.39,-0.27,-0.79,0.18,0.1,0.36,1.61,0.35,0.97,0.32,,
 MÓVEL PARA SALA,-0.17,0.31,0.22,-0.93,-0.11,0.24,1.72,2.16,0.93,0.77,1.71,-0.44,-0.34,0.26,,
 MÓVEL PARA QUARTO,-0.5,1.22,0.16,2.75,1.73,-0.86,-2.67,-0.32,-0.45,0.84,2.32,0.73,2.27,0.72,,
 MÓVEL PARA COPA E COZINHA,-2.29,-2,2.03,2.86,-0.87,0.62,-2.08,-1.59,-0.01,-1.27,0.62,1.52,2,-0.38,,
 MÓVEL INFANTIL,       -,       -,       -,0.53,       -,       -,-0.78,0.13,       -,       -,-2.99,       -,       -,-0.55,,
 COLCHÃO,1.46,-0.94,4.87,2.15,-1.46,-2.42,0.29,-1.64,-2.51,0.81,2.61,-0.68,-0.5,0.21,,
 UTENSÍLIOS E ENFEITES,0.54,1.64,-0.39,1.97,1.4,0.1,1.14,-0.79,-1.3,0.75,0.68,-0.5,-2.6,0.63,,
 TAPETE,-0.36,2.17,0.14,-0.61,-1.54,-1.59,-0.62,       -,-0.24,-0.39,-2.23,-1.4,-0.63,-0.33,,
 CORTINA,3.51,4.19,-1.24,1.66,2.08,3.11,-1.37,2.92,1.67,3.31,1.59,0.87,-0.65,1.68,,
 UTENSÍLIOS DE METAL,-1.33,0.08,-1.02,2.79,4.44,0.1,1.1,-1.45,-1.72,2.94,3.37,-2.49,-2.61,1.57,,
 UTENSÍLIOS DE VIDRO E LOUÇA,1.11,0,0.49,2.24,1.23,2.75,1.73,2.08,2.64,-0.34,-0.16,2.13,2.85,1.09,,
 UTENSÍLIOS DE PLÁSTICO,4.15,-1.04,       -,0.76,-2.55,-1.53,1.4,1.15,0.78,-0.38,1.16,-3.05,-2.42,-0.39,,
 FLORES NATURAIS,       -,1.21,       -,       -,3.69,       -,       -,       -,1.11,0.92,       -,       -,-4.13,2.61,,
 UTENSÍLIOS DIVERSOS,-0.31,2.1,-0.72,2.61,0.86,-1.34,1.68,-2.38,-5.36,-2.07,0.22,-0.24,-5.71,-0.18,,
" CAMA, MESA E BANHO",1.92,1.8,1.41,0.1,-0.09,1.98,-0.33,1.72,-0.86,-2.06,0.4,-0.23,2.59,0.4,,
 ROUPA DE CAMA,1.93,2.02,1.73,-1.13,1.31,1.98,-0.57,1.43,-1.63,-3.48,0.4,0.08,1.89,0.44,,
 ROUPA DE BANHO,1.88,1.19,0.55,2.98,-2.69,       -,0.82,2.33,2.44,2.67,       -,-0.95,4.46,0.29,,
 APARELHOS ELETROELETRÔNICOS,1.07,-0.16,0.41,-0.61,-0.49,-0.68,0.43,-0.03,-0.89,-0.13,1.06,-0.23,0.34,-0.06,,
 ELETRODOMÉSTICOS E EQUIPAMENTOS,1.14,0.28,0.3,-0.7,-1.22,0.05,1.64,0.81,-0.19,-0.72,1.4,-0.53,-0.59,-0.09,,
 REFRIGERADOR,1.24,-0.8,1.23,-1.28,-0.2,-0.13,3.27,0.46,-0.92,-0.06,1.29,-1.17,-1.27,0.21,,
 AR-CONDICIONADO,-0.08,2.85,       -,0.91,       -,       -,1.78,       -,       -,-1.54,       -,-0.55,0.13,0.96,,
 MÁQUINA DE LAVAR ROUPA,2.35,0.38,0.04,1.03,-2.62,0.78,-0.92,2.74,0.46,0.45,0.65,1.69,0.38,-0.36,,
 LIQUIDIFICADOR,       -,       -,       -,       -,       -,       -,2.71,       -,       -,       -,       -,       -,       -,2.71,,
 VENTILADOR,-0.97,       -,       -,1.45,       -,       -,0.34,0.54,       -,       -,       -,       -,1.79,0.3,,
 FOGÃO,1.26,0.92,-0.94,-1.73,-1.19,-0.44,0.01,0.62,1.33,-3.21,3.45,-1.13,-0.87,-0.32,,
 CHUVEIRO ELÉTRICO,       -,2.68,       -,       -,-0.07,       -,       -,       -,       -,       -,       -,       -,       -,0.68,,
 FORNO DE MICRO-ONDAS,       -,-1.46,-1.88,       -,-2.93,       -,       -,       -,       -,-1.89,-0.23,       -,       -,-2.24,,
" TV, SOM E INFORMÁTICA",0.97,-0.98,0.56,-0.49,0.62,-1.66,-1.92,-1.17,-1.84,1,0.56,0.2,2.04,-0.01,,
 TELEVISOR,-0.45,-1.99,0.17,-0.94,-4.21,-2.88,-0.75,-1.36,-2.62,-0.27,0.04,-0.64,-0.94,-1.9,,
 APARELHO DE SOM,2.24,-0.72,1.1,-1.66,2.45,1.15,1.72,-0.41,2.81,-0.91,1.77,1.02,2.75,1.16,,
 APARELHO DE DVD,3.24,0.55,-1.84,1.07,1.29,0.44,-3.21,1.58,2.1,-0.02,1.85,-0.29,0.64,0.46,,
 ANTENA,       -,       -,       -,-0.49,       -,       -,-1.92,-1.17,       -,       -,0.56,       -,       -,-0.83,,
 MICROCOMPUTADOR,1.33,-0.69,1.18,-0.25,3.59,-1.4,-3.23,-2.69,-3.22,2.44,0.36,0.82,3.96,0.89,,
 CONSERTOS  E  MANUTENÇÃO,2.15,-0.76,-2.2,0.72,0.29,-0.39,0.13,1.03,0.23,-0.7,-0.2,0.3,-1.76,0.06,,
 CONSERTOS E MANUTENÇÃO,2.15,-0.76,-2.2,0.72,0.29,-0.39,0.13,1.03,0.23,-0.7,-0.2,0.3,-1.76,0.06,,
 CONSERTO DE REFRIGERADOR,6.86,0,0,0.4,3.38,1.34,1.27,       -,1.28,-1.58,-0.76,3.11,0,2.19,,
 CONSERTO DE TELEVISOR,-1.28,-0.2,-1.11,1.13,-2.97,-1.59,0,-0.01,0.62,0,1.48,-4.3,-4.63,-1.11,,
 CONSERTO DE APARELHO DE SOM,       -,       -,-1.6,       -,       -,       -,       -,       -,-0.45,       -,       -,       -,       -,-1.28,,
 CONSERTO DE MÁQUINA DE LAVAR ROUPA ,1.5,-1.86,       -,0,1.22,-0.62,-0.9,       -,       -,-0.15,       -,       -,2.17,0.17,,
 REFORMA DE ESTOFADO,0.22,0.2,-4.38,0.91,-0.22,0,-0.43,1.52,-0.42,-0.81,-0.81,1.2,-2.51,-0.51,,
 MANUTENÇÃO DE MICROCOMPUTADOR,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,-0.88,-0.49,-0.68,, 
 VESTUÁRIO,0.53,-0.68,0.68,0.73,0.26,0.88,0.14,0.56,0.9,-0.25,0.18,0.1,-0.54,0.29,,
 ROUPAS,0.1,-1.35,0.5,1.11,0.16,1.52,-0.1,0.66,1.65,-0.59,0.27,0.22,-0.71,0.22,,
 ROUPA MASCULINA,0.79,-0.67,-1.7,0.82,1.36,2.71,-0.58,1.67,1.14,-0.88,1.46,0.51,0.54,0.45,,
 CALÇA COMPRIDA MASCULINA ,-0.4,-0.4,-1.39,0.85,1.49,2.01,2.88,2.71,3.55,-2.82,1.7,0.64,-0.96,0.63,,
 TERNO,0.6,0.13,-0.6,0.97,       -,       -,       -,       -,       -,0.47,-2.61,2.64,       -,0.1,,
 AGASALHO MASCULINO,       -,-2.47,-2.81,       -,-2.31,2.05,       -,       -,       -,-0.77,       -,0.43,0.16,-1.79,,
 SHORT E BERMUDA MASCULINA,1.82,2.62,-1.47,0.93,2.57,1.68,-2.81,-1.7,-0.5,0.99,0.96,1.82,1.4,0.45,,
 CUECA,       -,-1.46,       -,2.88,       -,       -,-0.73,-0.47,1.02,       -,       -,       -,       -,0.12,,
 CAMISA / CAMISETA MASCULINA,1.15,-0.82,-2.15,0.54,1.38,3.68,-1.26,3.18,0.72,0.11,2.08,-0.39,1.69,0.63,,
 ROUPA FEMININA,-0.06,-1.58,2.31,1.7,-1.19,1.65,-0.29,-0.3,1.95,-1.06,-0.67,0.62,-1.42,-0.03,,
 CALÇA COMPRIDA FEMININA,-1.32,-2.03,3.26,1.97,-2.53,1.23,-0.26,0.21,1.18,-2.44,-2.75,-2.23,-2.88,-0.75,,
 AGASALHO FEMININO,       -,-2.96,0.9,       -,-2.27,       -,       -,       -,       -,0.69,       -,       -,-2.5,-1.51,,
 SAIA,       -,       -,       -,3.58,       -,       -,-1.95,-2.04,1.47,       -,-0.05,-0.1,       -,0.19,,
 VESTIDO,-2.67,-1.81,3.23,2.37,-0.44,2.96,-0.07,-1.3,1.74,-0.98,2.28,0.8,-2.59,0.22,,
 BLUSA,1.54,-1.65,1.27,2.84,-0.27,1.88,0.33,-0.39,3.73,-0.61,-0.81,1.83,-0.36,0.57,,
 LINGERIE,2.89,0.15,2.67,-0.82,-1.62,-0.73,-1.89,0.22,0.15,-1.06,-0.4,3.28,1.05,-0.25,,
 BERMUDA E SHORT FEMININO,-0.65,3.78,0.66,-2.49,       -,0.29,-0.18,0.97,-0.15,2.14,0.26,0.75,0.14,0.22,,
 ROUPA INFANTIL,-0.86,-2.17,0.23,0.3,1,-1.47,1.3,1.5,2.04,1.2,0.36,-1.47,-1.39,0.39,,
 UNIFORME ESCOLAR,-2.27,       -,       -,       -,-2.26,       -,-1.65,       -,0.93,-0.06,       -,       -,       -,-1.46,,
 CALÇA COMPRIDA INFANTIL,-2.34,-2.64,1.69,0.64,1.67,-1.58,0.48,1.85,-0.21,-0.85,1.33,1.57,-1.16,0.24,,
 AGASALHO INFANTIL,       -,-2.43,-2.81,       -,-1.54,-2.76,       -,       -,       -,-1.61,       -,-1.47,-2.12,-2.05,,
 VESTIDO INFANTIL,-2.62,       -,-1.3,-0.37,1.99,0.65,0.36,3.4,2.46,1.44,1.67,-1.35,-1.85,0.79,,
 SHORT E BERMUDA INFANTIL,-2.99,1.54,1.33,-0.7,-1.95,-1.07,0.94,1.11,2.4,2.22,2.89,-0.73,3.11,0.23,,
 CAMISA / CAMISETA INFANTIL,1.17,-2.87,0.56,0.55,2.8,-1.73,3.47,2.56,2.57,2.65,-1.44,-2.44,-2.88,1.23,,
 CONJUNTO INFANTIL,       -,       -,-2.76,0.82,-1.08,-1.65,0.79,-2.67,       -,       -,-2.59,-2.34,       -,-1.1,,
 CALÇADOS E ACESSÓRIOS,1.15,0.48,1.02,0.07,0.51,-0.62,0.74,0.27,-0.84,0.4,0.3,-0.18,-0.27,0.43,,
 CALÇADOS E ACESSÓRIOS,1.15,0.48,1.02,0.07,0.51,-0.62,0.74,0.27,-0.84,0.4,0.3,-0.18,-0.27,0.43,,
 SAPATO MASCULINO,0.32,-1.17,0.33,2.99,2.4,1.67,1.22,0.54,-1.87,2.13,1.16,0.49,-2.75,0.98,,
 SAPATO FEMININO,2.29,0.2,1.79,-0.08,1.32,0.97,-0.61,0.54,-1.8,2.6,0.09,-1.18,-2.76,1.0,,
 SAPATO INFANTIL,       -,       -,       -,1.58,       -,       -,-2.09,       -,1.1,       -,       -,       -,       -,0.31,,
 SANDÁLIA / CHINELO MASCULINO,       -,       -,       -,-2.51,       -,       -,0.3,       -,1.2,       -,       -,       -,       -,-0.28,,
 SANDÁLIA / CHINELO FEMININO,3.19,3.21,3.42,2.03,1.94,-2.97,1.98,-0.47,-1.98,-1.41,-2.95,-0.76,-2.82,1.2,,
 SANDÁLIA / CHINELO INFANTIL,       -,       -,       -,-1.05,       -,1.14,2.13,1.93,1.57,       -,0.03,-0.74,1.69,0.98,,
 BOLSA ,0.6,-2.56,0.07,-1.01,1.9,2.8,-2.14,1.74,-0.89,0.58,-1.6,1.42,3.57,0.33,,
 TÊNIS,-0.12,1.07,-0.69,-1.42,-1.38,-1.62,1.82,-0.3,0.53,-0.92,2.65,-0.03,1.78,-0.38,,
 JÓIAS E BIJUTERIAS,1.81,-0.48,0.94,-0.37,-0.06,-0.35,-0.11,0.96,0.97,0.2,-1.36,0.19,-0.36,0.23,,
 JÓIAS E BIJUTERIAS,1.81,-0.48,0.94,-0.37,-0.06,-0.35,-0.11,0.96,0.97,0.2,-1.36,0.19,-0.36,0.23,,
 BIJUTERIA,1.95,-0.48,0.54,0.14,0.01,1.8,0.11,0.16,0.65,0.87,-1.05,1.77,-0.54,0.35,,
 JÓIA,1.72,-0.48,1.23,-0.61,-0.13,-1.3,-0.57,       -,1.36,-0.17,-1.63,-0.68,-0.22,0.12,,
 RELÓGIO DE PULSO,       -,       -,       -,-1.02,       -,       -,0.73,1.81,       -,       -,       -,       -,       -,0.46,,
 TECIDOS E ARMARINHO,1.17,0.02,0.64,0.84,0.24,0.81,2.01,-0.35,-0.61,-0.38,-0.95,-0.11,-1.02,0.3,,
 TECIDOS E ARMARINHO,1.17,0.02,0.64,0.84,0.24,0.81,2.01,-0.35,-0.61,-0.38,-0.95,-0.11,-1.02,0.3,,
 TECIDO,0.8,-1.55,-0.15,0.84,-0.1,0.61,2.71,-0.04,-0.67,-0.4,-1.04,-0.42,-1.92,0.04,,
 ARTIGOS DE ARMARINHO,       -,1.82,1.98,       -,1.7,1.09,1.08,       -,       -,-0.32,-0.68,0.45,0.7,1.27,,
 ACORTINADO (MOSQUITEIRO),1.87,-0.41,       -,       -,-0.54,       -,       -,-1.05,-0.33,       -,       -,       -,       -,-0.05,,
 TRANSPORTES,0.33,2.52,2.11,3.69,1.35,2.63,0.84,0.23,0.32,2.31,1.95,0.93,2.45,1.53,,
 TRANSPORTES,0.33,2.52,2.11,3.69,1.35,2.63,0.84,0.23,0.32,2.31,1.95,0.93,2.45,1.53,,
 TRANSPORTE PÚBLICO,-1.48,-1.1,-1.83,0.22,-1.28,-4.05,-0.28,-0.26,0.03,-2.64,-0.21,-3.06,-0.73,-1.25,,
 ÔNIBUS URBANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
 TÁXI,0,0,0,0,0,       -,0,0,0,0,0,0,0,0.0,,
 TREM,0,0,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,0.0,,
 ÔNIBUS INTERMUNICIPAL,0,-0.13,-4.76,0,0.05,       -,3.59,0,0,0,3.78,0.51,0,-0.33,,
 ÔNIBUS  INTERESTADUAL,0,-0.35,-0.15,1.6,2.75,2.19,-1.41,-3.97,1.99,1.28,-0.66,-2.03,1.23,1.23,,
 PASSAGEM AÉREA,-18.95,-19.16,-14.61,1.35,-16.48,-12.21,-12.7,-5.89,-2.57,-21.51,-7.81,-15.93,-14.5,-15.16,,
 METRÔ,0,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,0.0,,
 TRANSPORTE HIDROVIÁRIO,       -,       -,       -,       -,       -,       -,-0.27,       -,       -,       -,       -,       -,       -,-0.27,,
 TRANSPORTE ESCOLAR,       -,0,-4.53,0,0.82,-3.26,       -,       -,0,0,       -,-9.2,       -,-0.91,,
 VEÍCULO PRÓPRIO,0.21,0.45,0.51,1.44,0.06,1.28,0.33,-0.28,-0.46,-0.81,-0.11,-0.39,0.65,0.11,,
 AUTOMÓVEL  NOVO,1.28,1.88,-0.64,3.05,-0.19,0.3,-1.62,-0.14,0,-1.07,0.61,-1.28,1.67,0.22,,
 EMPLACAMENTO E  LICENÇA,0.34,0.34,0.25,0.34,0.37,0.34,0.4,0.84,0.34,0.32,0.33,0.33,0.34,0.35,,
 SEGURO VOLUNTÁRIO DE VEÍCULO,3.37,-1.98,1.84,3.81,-0.42,11.4,       -,6.87,-0.55,-0.31,-1.17,-2.29,0.57,0.83,,
 MULTA,       -,       -,       -,       -,0,0,       -,       -,       -,0,0,       -,       -,0.0,,
 ÓLEO LUBRIFICANTE,0.98,2.43,0.05,0.1,-0.34,0.12,0.83,0.8,0.31,1.77,2.02,       -,0.29,0.48,,
 ACESSÓRIOS E PEÇAS,-1.25,-0.66,0.14,2.58,1.37,-0.53,2.64,-1.99,1.46,-1.69,-1.86,1.31,-2.48,0.25,,
 PNEU ,-1.04,0.03,-1.55,3.01,0.2,-0.66,-1.15,-2.08,-3,1.93,-0.21,0.22,2.21,-0.24,,
 CONSERTO DE AUTOMÓVEL,-1.17,-0.59,0.02,-0.77,0.57,2.02,1.36,-2.01,-0.44,-1.17,-0.52,0.5,1.14,-0.12,,
 ESTACIONAMENTO,-0.15,-0.81,-0.67,       -,1.22,       -,       -,0.36,       -,       -,       -,       -,       -,0.17,,
 PEDÁGIO,1.46,-2.28,       -,       -,0.6,       -,       -,       -,       -,0,       -,0,       -,0.34,,
 LUBRIFICAÇÃO E LAVAGEM,       -,       -,       -,-2.02,-2.91,       -,       -,       -,       -,-2.18,       -,       -,0.53,-2.53,,
 AUTOMÓVEL USADO,-1.71,0.51,3.65,       -,-0.7,1.98,2.54,2.02,-1.8,-0.78,-2.57,-0.02,-5.43,-0.1,,
 PINTURA DE VEÍCULO,       -,       -,       -,-4.24,-1.8,-0.78,       -,       -,-0.63,-0.56,       -,-0.34,       -,-1.56,,
 ALUGUEL DE VEÍCULO,5.41,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,5.41,,
 MOTOCICLETA,0.02,-0.66,-0.04,-0.04,0.23,0.77,0.5,0.98,0.3,-1.35,2.1,0.35,0.91,0.17,,
 COMBUSTÍVEIS (VEÍCULOS),4.34,7.88,8.13,12.84,5.63,11.24,3.97,1.85,2.18,12.06,5.76,6.49,7.53,6.67,,
 GASOLINA,5.2,8.44,8.33,15.24,5.6,12.26,4.04,2.02,2.29,13.15,6.06,6.91,8.21,7.19,,
 ETANOL,3.78,2.38,7.49,4.97,6.22,1.91,       -,0.73,0.88,9.3,5.36,1.88,4.16,5.71,,
 ÓLEO DIESEL,       -,3.71,5.3,       -,3.02,       -,3.14,1.93,4.46,4.34,2.47,4.37,5.79,3.88,,
 GÁS VEICULAR,-0.63,       -,       -,-0.03,1.26,       -,       -,       -,1.77,       -,       -,0.63,       -,0.29,,
 SAÚDE E CUIDADOS PESSOAIS,0.25,0.52,0.44,0.21,0.77,0.19,-0.17,0.45,0.09,0.02,-0.07,0.37,0.46,0.41,,
 PRODUTOS FARMACÊUTICOS E ÓTICOS,0.15,0.18,-0.07,-0.27,1.3,0.04,0.24,-0.06,0.04,-0.05,-0.45,0.04,0.66,0.39,,
 PRODUTOS FARMACÊUTICOS,0.12,0.25,0.07,-0.36,1.32,0.01,0.35,0.19,0.06,0.09,-0.35,-0.04,0.63,0.43,,
 ANTI-INFECCIOSO E ANTIBIÓTICO,-2.49,-1.91,0.26,-0.3,2.08,-0.28,1.18,0.01,-1.9,0.54,-0.66,0.15,1.44,0.2,,
 ANALGÉSICO E ANTITÉRMICO,0.4,0.08,-1.46,-0.37,0.57,-1.3,0.02,0.12,-0.03,-0.55,-0.27,-0.79,0.88,-0.08,,
 ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,-0.88,0.56,0.43,-1.31,2.75,-0.05,-0.13,-0.02,-0.33,-0.1,-1.15,-1.39,1.17,0.78,,
 ANTIGRIPAL E ANTITUSSÍGENO,-0.93,0.31,0.3,2.25,-0.68,-0.35,-0.21,0.77,-2.16,-0.55,2.29,-1.67,-0.93,-0.28,,
 DERMATOLÓGICO,0.56,0.57,0.52,-0.81,1.14,       -,0.46,-0.29,2.86,0.28,-0.29,-0.89,-0.56,0.66,,
 ANTIALÉRGICO E  BRONCODILATADOR,0.37,0.19,-0.69,-0.54,2.5,-0.2,-0.42,0.08,1.47,-0.39,-0.42,0.16,0.29,0.74,,
 GASTROPROTETOR,2.35,-0.37,-2.87,1.59,-2.56,0.2,3.07,-0.42,0.94,-0.15,-1.88,-0.67,0.79,-0.6,,
 VITAMINA E FORTIFICANTE,-0.68,0.47,-0.44,-2.42,0.01,-0.32,0.36,0.96,1.73,-0.6,-1.14,-1.34,1.54,-0.18,,
 HORMÔNIO,-0.43,0.93,-0.18,-1.82,2.07,0.18,0,0.21,-1.34,-0.51,-1.4,0.07,1.33,0.5,,
 PSICOTRÓPICO E ANOREXÍGENO,1.73,0.58,0.18,0.73,0.87,0.74,0.2,-0.21,0.78,0.79,0.92,-0.26,0.71,0.8,,
 HIPOTENSOR E HIPOCOLESTEROLEMICO,-0.26,0.42,2.19,-0.43,2,0.51,-0.08,-0.34,0.77,0.93,0,1.53,-0.68,0.94,,
 OFTALMOLÓGICO,2.47,0.22,-0.87,-1.44,3.28,       -,-0.22,2.69,-1.14,-0.29,0.19,1.52,0.05,0.99,,
 PRODUTOS ÓTICOS,0.89,-0.77,-2.66,0.36,1.12,0.67,-1.26,-1.45,-0.23,-2.5,-1.74,1.31,1.07,-0.26,,
 ARMAÇÃO DE ÓCULOS,       -,0.02,       -,       -,3.06,       -,       -,-2.98,-0.02,-2.89,       -,       -,       -,1.26,,
 ÓCULOS SEM GRAU,1.22,-0.29,-2.02,-1.08,1.78,       -,-0.41,-3.22,-2.21,-3.01,-2.73,-0.02,1.73,-0.54,,
 LENTES DE ÓCULOS E DE CONTATO,0.65,-1.24,-3.09,1.63,-0.99,0.67,-1.85,-0.56,1.07,-2.03,-0.47,1.96,0.75,-0.56,,
 SERVIÇOS DE SAÚDE,0.96,0.81,0.72,0.85,0.97,0.77,0.87,1.07,0.78,0.64,0.81,0.7,0.74,0.87,,
 SERVIÇOS MÉDICOS E DENTÁRIOS,0.41,0.11,0.51,-0.05,0.76,0.47,0,1.42,0.56,0.45,0.42,-0.45,0.1,0.51,,
 MÉDICO,0.1,0.52,0.46,0.35,3.11,0.26,0,0.75,0,0,0.51,-0.63,0,0.79,,
 DENTISTA,1.01,0.36,0.7,-0.6,-0.28,0.82,0,1.81,1.19,1.16,0.36,0,0,0.4,,
 APARELHO ORTODONTICO,       -,-0.99,       -,       -,-0.13,       -,       -,       -,       -,-0.69,       -,       -,1.31,-0.45,,
 ARTIGOS ORTOPÉDICOS,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.25,       -,       -,0.25,,
 FISIOTERAPEUTA,0.27,       -,       -,       -,1.16,       -,       -,       -,       -,       -,       -,       -,       -,1.0,,
 PSICÓLOGO,0,-0.63,-0.35,0,0,       -,       -,1.3,       -,       -,       -,       -,       -,-0.07,,
 SERVIÇOS LABORATORIAIS E HOSPITALARES,0.76,0.84,-0.11,0.43,0.4,0.02,1.21,-0.02,0.15,-0.07,0.77,1.22,0.05,0.36,,
 EXAME DE LABORATÓRIO,1.36,0.72,-0.69,0.19,       -,-1.94,1.56,0.11,0.1,-0.08,1.66,0.01,0.32,0.18,,
 HOSPITALIZAÇÃO E CIRURGIA,0.88,0.44,-0.2,0.47,0.36,3.42,1.61,0.01,0,0,0.39,2.14,0,0.35,,
 EXAME DE IMAGEM,0,2.85,0.97,0.63,0.63,       -,-0.13,-0.17,0.52,-0.48,0,0,0,0.6,,
 PLANO DE SAÚDE,1.08,1.01,1.05,1.07,1.08,1.07,1.07,1.08,1.03,1.08,1.07,1.05,1.04,1.07,,
 PLANO DE SAÚDE,1.08,1.01,1.05,1.07,1.08,1.07,1.07,1.08,1.03,1.08,1.07,1.05,1.04,1.07,,
 CUIDADOS PESSOAIS,-1.57,0.55,0.63,-0.36,-0.55,-0.51,-1.27,0.31,-0.88,-0.95,-0.98,0.25,-0.26,-0.49,,
 HIGIENE PESSOAL,-1.57,0.55,0.63,-0.36,-0.55,-0.51,-1.27,0.31,-0.88,-0.95,-0.98,0.25,-0.26,-0.49,,
 PRODUTO PARA CABELO,-3.84,-0.57,0.2,-1.72,-2.95,0.12,2.43,-1.94,-0.6,-0.48,-2.92,2.78,1.09,-1.45,,
 FRALDA DESCARTÁVEL,       -,0.8,-1.93,-1.31,       -,1.27,-1.2,       -,0.12,0.84,-1.32,       -,-3.67,-0.55,,
 PRODUTO PARA BARBA,       -,0.04,       -,       -,       -,       -,-2.81,       -,       -,       -,       -,0.38,       -,-0.71,,
 PRODUTO PARA PELE,0.02,0.53,1.87,-0.62,0.71,2.01,-1.42,0.46,1.17,1.02,1.56,1.98,1.3,0.78,,
 PRODUTO PARA HIGIENE BUCAL,-2.26,-2.92,1.64,-1.79,0.07,-0.81,-1.52,-1.03,0.1,0.7,-0.68,-0.51,-0.84,-0.57,,
